full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Tim Frazier,72,#0,Free agent,G,11/1/1990,6-0 / 1.83,170 lbs. / 77.1 kg.,"$1,620,564 ",USA,2014,Undrafted,Undrafted,Penn State,NBA2k20,#N/A,#N/A
Langston Galloway,72,#9,Detroit Pistons,G,12/9/1991,6-1 / 1.85,202 lbs. / 91.6 kg.,"$7,333,333 ",USA,2014,Undrafted,Undrafted,Saint Joseph's,NBA2k20,14.5,2
Justin Holiday,72,#8,Indiana Pacers,G,4/5/1989,6-6 / 1.98,180 lbs. / 81.6 kg.,"$4,767,000 ",USA,2011,Undrafted,Undrafted,Washington,NBA2k20,#N/A,#N/A
Chandler Hutchison,72,#15,Chicago Bulls,F,4/26/1996,6-7 / 2.01,196 lbs. / 88.9 kg.,"$2,332,320 ",USA,2018,1,22,Boise State,NBA2k20,#N/A,#N/A
Wesley Iwundu,72,#25,Orlando Magic,F,12/20/1994,6-6 / 1.98,205 lbs. / 93 kg.,"$1,618,520 ",USA,2017,2,33,Kansas State,NBA2k20,#N/A,#N/A
Brandon Knight,72,#0,Detroit Pistons,G,12/2/1991,6-2 / 1.88,189 lbs. / 85.7 kg.,"$15,643,750 ",USA,2011,1,8,Kentucky,NBA2k20,#N/A,#N/A
Courtney Lee,72,#1,Dallas Mavericks,G-F,10/3/1985,6-5 / 1.96,200 lbs. / 90.7 kg.,"$12,759,670 ",USA,2008,1,22,Western Kentucky,NBA2k20,2,1
Thon Maker,72,#7,Detroit Pistons,F-C,2/25/1997,7-0 / 2.13,216 lbs. / 98 kg.,"$3,569,643 ",Australia,2016,1,10,,NBA2k20,0,39.5
Patrick McCaw,72,#22,Toronto Raptors,G,10/25/1995,6-7 / 2.01,181 lbs. / 82.1 kg.,"$4,000,000 ",USA,2016,2,38,UNLV,NBA2k20,#N/A,#N/A
Rodney McGruder,72,#19,Los Angeles Clippers,G,7/29/1991,6-4 / 1.93,205 lbs. / 93 kg.,"$4,807,693 ",USA,2013,Undrafted,Undrafted,Kansas State,NBA2k20,#N/A,#N/A
Darius Miller,72,#21,New Orleans Pelicans,F,3/21/1990,6-6 / 1.98,225 lbs. / 102.1 kg.,"$7,250,000 ",USA,2012,2,46,Kentucky,NBA2k20,#N/A,#N/A
Raul Neto,72,#19,Philadelphia 76ers,G,5/19/1992,6-1 / 1.85,170 lbs. / 77.1 kg.,"$1,737,145 ",Brazil,2013,2,47,,NBA2k20,#N/A,#N/A
Georges Niang,72,#31,Utah Jazz,F,6/17/1993,6-7 / 2.01,230 lbs. / 104.3 kg.,"$1,645,357 ",USA,2016,2,50,Iowa State,NBA2k20,#N/A,#N/A
Cameron Payne,72,#0,Phoenix Suns,G,8/8/1994,6-2 / 1.88,180 lbs. / 81.6 kg.,"$346,288 ",USA,2015,1,14,Murray State,NBA2k20,38.5,21
Anfernee Simons,72,#1,Portland Trail Blazers,G,6/8/1999,6-3 / 1.91,181 lbs. / 82.1 kg.,"$2,149,560 ",USA,2018,1,24,,NBA2k20,#N/A,#N/A
Zhaire Smith,72,#8,Philadelphia 76ers,G-F,6/4/1999,6-3 / 1.91,205 lbs. / 93 kg.,"$3,058,800 ",USA,2018,1,16,Texas Tech,NBA2k20,#N/A,#N/A
Anthony Tolliver,72,#0,Memphis Grizzlies,F,6/1/1985,6-8 / 2.03,240 lbs. / 108.9 kg.,"$2,854,556 ",USA,2007,Undrafted,Undrafted,Creighton,NBA2k20,11,2
DJ Wilson,72,#5,Milwaukee Bucks,F,2/19/1996,6-10 / 2.08,234 lbs. / 106.1 kg.,"$2,961,120 ",USA,2017,1,17,Michigan,NBA2k20,#N/A,#N/A
Alfonzo McKinnie,72,#0,Cleveland Cavaliers,F,9/17/1992,6-8 / 2.03,215 lbs. / 97.5 kg.,"$2,391,985 ",USA,2015,Undrafted,Undrafted,Green Bay,NBA2k20,#N/A,#N/A
Romeo Langford,72,#45,Boston Celtics,G,10/25/1999,6-4 / 1.93,216 lbs. / 98 kg.,"$3,458,400 ",USA,2019,1,14,Indiana,NBA2k20,#N/A,#N/A
Grant Williams,72,#12,Boston Celtics,F,11/30/1998,6-6 / 1.98,236 lbs. / 107 kg.,"$2,379,840 ",USA,2019,1,22,Tennessee,NBA2k20,#N/A,#N/A
Nicolas Claxton,72,#0,Brooklyn Nets,C,4/17/1990,6-11 / 2.11,215 lbs. / 97.5 kg.,"$898,310 ",USA,2019,2,31,Georgia,NBA2k20,#N/A,#N/A
PJ Washington,72,#25,Charlotte Hornets,F,8/23/1998,6-7 / 2.01,225 lbs. / 102.1 kg.,"$3,831,840 ",USA,2019,1,12,Kentucky,NBA2k20,#N/A,#N/A
Ryan Arcidiacono,72,#51,Chicago Bulls,G,3/26/1994,6-3 / 1.91,195 lbs. / 88.5 kg.,"$3,000,000 ",Italy,2016,Undrafted,Undrafted,Villanova,NBA2k20,#N/A,#N/A
Kevin Porter,72,#4,Cleveland Cavaliers,G-F,5/4/2000,6-4 / 1.93,218 lbs. / 98.9 kg.,"$1,290,960 ",USA,2019,1,30,USC,NBA2k20,#N/A,#N/A
Ryan Broekhoff,72,#0,Philadelphia 76ers,F,8/23/1990,6-6 / 1.98,215 lbs. / 97.5 kg.,"$2,833,704 ",Australia,2013,Undrafted,Undrafted,Valparaiso,NBA2k20,#N/A,#N/A
Goga Bitadze,72,#88,Indiana Pacers,C,7/20/1999,6-11 / 2.11,250 lbs. / 113.4 kg.,"$2,816,760 ",Georgia,2019,1,18,,NBA2k20,#N/A,#N/A
De'Anthony Melton,72,#0,Memphis Grizzlies,G,5/28/1998,6-2 / 1.88,190 lbs. / 86.2 kg.,"$1,416,852 ",USA,2018,2,46,USC,NBA2k20,#N/A,#N/A
Kenrich Williams,72,#34,New Orleans Pelicans,G-F,12/2/1994,6-6 / 1.98,210 lbs. / 95.3 kg.,"$1,416,852 ",USA,2018,Undrafted,Undrafted,TCU,NBA2k20,#N/A,#N/A
Nickeil Alexander-Walker,72,#0,New Orleans Pelicans,G,9/2/1998,6-5 / 1.96,205 lbs. / 93 kg.,"$2,964,840 ",Canada,2019,1,17,Virginia Tech,NBA2k20,#N/A,#N/A
Chuma Okeke,72,#3,Free agent,F-C,8/18/1998,6-8 / 2.03,230 lbs. / 104 kg.,"$2,773,550 ",USA,2019,1,16,Auburn,NBA2k20,#N/A,#N/A
Matisse Thybulle,72,#22,Philadelphia 76ers,G-F,3/4/1997,6-5 / 1.96,201 lbs. / 91.2 kg.,"$2,582,160 ",USA,2019,1,20,Washington,NBA2k20,#N/A,#N/A
Cameron Johnson,72,#23,Phoenix Suns,F,3/3/1996,6-8 / 2.03,210 lbs. / 95.3 kg.,"$4,033,440 ",USA,2019,1,11,North Carolina,NBA2k20,#N/A,#N/A
Ty Jerome,72,#10,Phoenix Suns,G,7/8/1997,6-5 / 1.96,195 lbs. / 88.5 kg.,"$2,193,480 ",USA,2019,1,24,Virginia,NBA2k20,#N/A,#N/A
Luka Samanic,72,#19,San Antonio Spurs,F,1/9/2000,6-10 / 2.08,209 lbs. / 94.8 kg.,"$2,689,920 ",Croatia,2019,1,19,,NBA2k20,#N/A,#N/A
Keldon Johnson,72,#3,San Antonio Spurs,F,10/11/1999,6-5 / 1.96,211 lbs. / 95.7 kg.,"$1,950,600 ",USA,2019,1,29,Kentucky,NBA2k20,#N/A,#N/A
Matt Thomas,72,#21,Toronto Raptors,G,8/4/1994,6-4 / 1.93,197 lbs. / 89.4 kg.,"$898,310 ",USA,2017,Undrafted,Undrafted,Iowa State,NBA2k20,#N/A,#N/A
Chris Boucher,71,#25,Toronto Raptors,F-C,1/11/1993,6-9 / 2.06,200 lbs. / 90.7 kg.,"$1,588,231 ",Canada,2017,Undrafted,Undrafted,Oregon,NBA2k20,#N/A,#N/A
Jevon Carter,71,#4,Phoenix Suns,G,9/14/1995,6-1 / 1.85,200 lbs. / 90.7 kg.,"$1,416,852 ",USA,2018,2,32,West Virginia,NBA2k20,#N/A,#N/A
Deyonta Davis,71,#0,Free agent,F-C,12/2/1996,6-10 / 2.08,240 lbs. / 108.9 kg.,"$250,000 ",USA,2016,2,31,Michigan State,NBA2k20,#N/A,#N/A
Jacob Evans,71,#0,Minnesota Timberwolves,G,6/18/1997,6-4 / 1.93,210 lbs. / 95.3 kg.,"$1,925,880 ",USA,2018,1,28,Cincinnati,NBA2k20,#N/A,#N/A
Terrance Ferguson,71,#23,Oklahoma City Thunder,G,5/17/1998,6-6 / 1.98,184 lbs. / 83.5 kg.,"$2,475,840 ",USA,2017,1,21,,NBA2k20,#N/A,#N/A
Daniel Gafford,71,#12,Chicago Bulls,F,10/1/1998,6-10 / 2.08,234 lbs. / 106.1 kg.,"$898,310 ",USA,2019,2,38,Arkansas,NBA2k20,#N/A,#N/A
Treveon Graham,71,#12,Atlanta Hawks,G,10/28/1993,6-5 / 1.96,219 lbs. / 99.3 kg.,"$1,645,357 ",USA,2015,Undrafted,Undrafted,VCU,NBA2k20,#N/A,#N/A
Frank Jackson,71,#15,New Orleans Pelicans,G,5/4/1998,6-3 / 1.91,205 lbs. / 93 kg.,"$1,618,520 ",USA,2017,2,31,Duke,NBA2k20,#N/A,#N/A
Luke Kornet,71,#2,Chicago Bulls,C,7/15/1995,7-2 / 2.18,240 lbs. / 108.9 kg.,"$2,250,000 ",USA,2017,Undrafted,Undrafted,Vanderbilt,NBA2k20,#N/A,#N/A
Frank Mason,71,#15,Milwaukee Bucks,G,4/13/1994,5-11 / 1.80,190 lbs. / 86.2 kg.,"$79,568 ",USA,2017,2,34,Kansas,NBA2k20,#N/A,#N/A
Ben McLemore,71,#16,Houston Rockets,G,2/11/1993,6-3 / 1.91,189 lbs. / 85.7 kg.,"$2,028,594 ",USA,2013,1,7,Kansas,NBA2k20,30,17
Dzanan Musa,71,#13,Brooklyn Nets,F,5/8/1999,6-9 / 2.06,195 lbs. / 88.5 kg.,"$1,911,600 ",Bosnia and Herzegovina,2018,1,29,,NBA2k20,#N/A,#N/A
Elie Okobo,71,#2,Phoenix Suns,G,10/23/1997,6-3 / 1.91,190 lbs. / 86.2 kg.,"$1,416,852 ",France,2018,2,31,,NBA2k20,#N/A,#N/A
Jerome Robinson,71,#1,Washington Wizards,G,2/22/1997,6-4 / 1.93,190 lbs. / 86.2 kg.,"$3,567,720 ",USA,2018,1,13,Boston College,NBA2k20,#N/A,#N/A
JaKarr Sampson,71,#14,Indiana Pacers,F,3/20/1993,6-7 / 2.01,223 lbs. / 101.2 kg.,"$1,737,145 ",USA,2014,Undrafted,Undrafted,St. John's,NBA2k20,#N/A,#N/A
Edmond Sumner,71,#5,Indiana Pacers,G,12/13/1995,6-4 / 1.93,186 lbs. / 84.4 kg.,"$2,000,000 ",USA,2017,2,52,Xavier,NBA2k20,#N/A,#N/A
Gary Trent Jr,71,#2,Portland Trail Blazers,G,1/18/1999,6-5 / 1.96,209 lbs. / 94.8 kg.,"$1,416,852 ",USA,2018,2,37,Duke,NBA2k20,#N/A,#N/A
Moritz Wagner,71,#21,Washington Wizards,F,4/26/1997,6-11 / 2.11,240 lbs. / 108.9 kg.,"$2,063,520 ",Germany,2018,1,25,Michigan,NBA2k20,#N/A,#N/A
Admiral Schofield,71,#1,Washington Wizards,F,3/30/1997,6-5 / 1.96,241 lbs. / 109.3 kg.,"$1,000,000 ",USA,2019,2,42,Tennessee,NBA2k20,#N/A,#N/A
Bruno Fernando,71,#24,Atlanta Hawks,F,8/15/1998,6-9 / 2.06,245 lbs. / 111.1 kg.,"$1,400,000 ",Angola,2019,2,34,Maryland,NBA2k20,#N/A,#N/A
Alen Smailagic,71,#6,Golden State Warriors,F,8/18/2000,6-10 / 2.08,215 lbs. / 97.5 kg.,"$898,310 ",Serbia,2019,2,39,,NBA2k20,#N/A,#N/A
Eric Paschall,71,#7,Golden State Warriors,F,11/4/1996,6-6 / 1.98,255 lbs. / 115.7 kg.,"$898,310 ",USA,2019,2,41,Villanova,NBA2k20,#N/A,#N/A
Carsen Edwards,71,#4,Boston Celtics,G,3/12/1998,5-11 / 1.80,200 lbs. / 90.7 kg.,"$1,228,026 ",USA,2019,2,33,Purdue,NBA2k20,#N/A,#N/A
KZ Okpala,71,#4,Miami Heat,F,4/28/1999,6-8 / 2.03,215 lbs. / 97.5 kg.,"$898,310 ",USA,2019,2,32,Stanford,NBA2k20,#N/A,#N/A
Shake Milton,71,#18,Philadelphia 76ers,C,9/26/1996,6-5 / 1.96,205 lbs. / 93 kg.,"$1,445,697 ",USA,2018,2,54,SMU,NBA2k20,#N/A,#N/A
Chimezie Metu,71,#7,San Antonio Spurs,F,3/22/1997,6-9 / 2.06,225 lbs. / 102.1 kg.,"$1,416,852 ",Nigeria,2018,2,49,USC,NBA2k20,#N/A,#N/A
