full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
LeBron James,97,#23,Los Angeles Lakers,F,12/30/1984,6-9 / 2.06,250 lbs. / 113.4 kg.,"$37,436,858 ",USA,2003,1,1,,NBA2k20,5533.5,1501.5
Kawhi Leonard,97,#2,Los Angeles Clippers,F,6/29/1991,6-7 / 2.01,225 lbs. / 102.1 kg.,"$32,742,000 ",USA,2011,1,15,San Diego State,NBA2k20,2701.5,716.5
Giannis Antetokounmpo,96,#34,Milwaukee Bucks,F-G,12/6/1994,6-11 / 2.11,242 lbs. / 109.8 kg.,"$25,842,697 ",Greece,2013,1,15,,NBA2k20,#N/A,#N/A
Kevin Durant,96,#7,Brooklyn Nets,F,9/29/1988,6-10 / 2.08,230 lbs. / 104.3 kg.,"$37,199,000 ",USA,2007,1,2,Texas,NBA2k20,1425.5,366
James Harden,96,#13,Houston Rockets,G,8/26/1989,6-5 / 1.96,220 lbs. / 99.8 kg.,"$38,199,000 ",USA,2009,1,3,Arizona State,NBA2k20,969,321.5
Stephen Curry,95,#30,Golden State Warriors,G,3/14/1988,6-3 / 1.91,185 lbs. / 83.9 kg.,"$40,231,758 ",USA,2009,1,7,Davidson,NBA2k20,12278,2893
Anthony Davis,94,#3,Los Angeles Lakers,F-C,3/11/1993,6-10 / 2.08,222 lbs. / 100.7 kg.,"$27,093,019 ",USA,2012,1,1,Kentucky,NBA2k20,368,104
Paul George,93,#13,Los Angeles Clippers,F,5/2/1990,6-8 / 2.03,210 lbs. / 95.3 kg.,"$33,005,556 ",USA,2010,1,10,Fresno State,NBA2k20,228.5,128
Damian Lillard,92,#0,Portland Trail Blazers,G,7/15/1990,6-2 / 1.88,195 lbs. / 88.5 kg.,"$29,802,321 ",USA,2012,1,6,Weber State,NBA2k20,186.5,43
Joel Embiid,91,#21,Philadelphia 76ers,C,3/16/1994,7-0 / 2.13,250 lbs. / 113.4 kg.,"$27,504,630 ",Cameroon,2014,1,3,Kansas,NBA2k20,6852.5,2941
Kyrie Irving,91,#11,Brooklyn Nets,G,3/23/1992,6-2 / 1.88,180 lbs. / 81.6 kg.,"$31,742,000 ",Australia,2011,1,1,Duke,NBA2k20,1541,695
Nikola Jokic,90,#15,Denver Nuggets,C,2/19/1995,7-0 / 2.13,253 lbs. / 114.8 kg.,"$27,504,630 ",Serbia,2014,2,41,,NBA2k20,0,1
Russell Westbrook,90,#0,Houston Rockets,G,11/12/1988,6-3 / 1.91,190 lbs. / 86.2 kg.,"$38,506,482 ",USA,2008,1,4,UCLA,NBA2k20,2130.5,559
Klay Thompson,89,#11,Golden State Warriors,G,2/8/1990,6-6 / 1.98,205 lbs. / 93 kg.,"$32,742,000 ",USA,2011,1,11,Washington State,NBA2k20,797,225
Karl-Anthony Towns,89,#32,Minnesota Timberwolves,F-C,11/15/1995,6-11 / 2.11,248 lbs. / 112.5 kg.,"$27,285,000 ",USA,2015,1,1,Kentucky,NBA2k20,0,105
