Date,Team,Acquired,Relinquished,Notes,salaries
11/20/2010,Bobcats,Dominic McGuire,,activated from IL,#REF!
11/20/2010,Bucks,,Carlos Delfino,strained neck (DNP),#REF!
11/20/2010,Heat,,Dwyane Wade,placed on IL with sprained left wrist,#REF!
11/20/2010,Heat,Jamaal Magloire,,activated from IL,#REF!
11/20/2010,Magic,,Malik Allen,placed on IL,#REF!
11/20/2010,Magic,J.J. Redick,,activated from IL,#REF!
11/20/2010,Nets,,Quinton Ross,placed on IL with calf injury,#REF!
11/20/2010,Nets,Terrence Williams,,activated from IL,#REF!
11/20/2010,Pacers,,Dahntay Jones,placed on IL,#REF!
11/20/2010,Suns,,Steve Nash,strained groin (DNP),#REF!
11/21/2010,Celtics,,Rajon Rondo,placed on IL with strained left hamstring,#REF!
11/21/2010,Celtics,Avery Bradley,,activated from IL,#REF!
11/21/2010,Hornets,Marcus Thornton ,,activated from IL,#REF!
11/21/2010,Kings,,Antoine Wright,placed on IL,#REF!
11/21/2010,Kings,Pooh Jeter,,activated from IL,#REF!
11/21/2010,Raptors,Leandro Barbosa,,activated from IL,#REF!
11/21/2010,Wizards,,Hamady N'Diaye,placed on IL,#REF!
11/21/2010,Wizards,John Wall ,,activated from IL,#REF!
11/21/2010,Wizards,,John Wall ,sprained left foot (DNP),#REF!
11/22/2010,Heat,,Udonis Haslem,placed on IL with torn ligament in left foot (out for season),#REF!
11/22/2010,Heat,Dwyane Wade,,activated from IL,#REF!
11/22/2010,Hornets,,David Andersen,placed on IL,#REF!
11/22/2010,Hornets,,Marcus Banks,placed on IL,#REF!
11/22/2010,Hornets,,Marcus Thornton ,DNP,#REF!
11/22/2010,Hornets,Aaron Gray,,activated from IL,#REF!
11/22/2010,Nuggets,,Chauncey Billups,placed on IL with broken nose and sprained right wrist,#REF!
11/22/2010,Nuggets,Chris Andersen,,activated from IL,#REF!
11/22/2010,Pacers,,A.J. Price,placed on IL,#REF!
11/22/2010,Pacers,,Jeff Foster,placed on IL,#REF!
11/22/2010,Pacers,Dahntay Jones,,activated from IL,#REF!
11/22/2010,Pacers,Darren Collison,,activated from IL,#REF!
11/22/2010,Thunder,,Daequan Cook,placed on IL,#REF!
11/22/2010,Thunder,,Morris Peterson,placed on IL,#REF!
11/22/2010,Thunder,Jeff Green,,activated from IL,#REF!
11/22/2010,Thunder,Kevin Durant,,activated from IL,#REF!
11/22/2010,Warriors,,Brandan Wright,strained lower back (DNP),#REF!
11/23/2010,76ers,Andre Iguodala,,activated from IL,#REF!
11/23/2010,Bobcats,,DeSagana Diop,placed on IL,#REF!
11/23/2010,Bobcats,Kwame Brown,,activated from IL,#REF!
11/23/2010,Heat,,Udonis Haslem,surgery on left foot to repair torn ligament (out for season),#REF!
11/23/2010,Nets,Damion James,,activated from IL,#REF!
11/23/2010,Pacers,,Dahntay Jones,placed on IL,#REF!
11/23/2010,Pacers,Jeff Foster,,activated from IL,#REF!
11/24/2010,76ers,,Darius Songaila,placed on IL,#REF!
11/24/2010,76ers,Craig Brackins,,activated from IL,#REF!
11/24/2010,Bucks,,Andrew Bogut,sore back (DNP),#REF!
11/24/2010,Bucks,,Carlos Delfino,strained neck (DNP),#REF!
11/24/2010,Bulls,,Taj Gibson,right ankle/foot injury (DNP),#REF!
11/24/2010,Celtics,,Delonte West,broken right wrist (out indefinitely),#REF!
11/24/2010,Hornets,,Pops Mensah-Bonsu,placed on IL,#REF!
11/24/2010,Magic,,Vince Carter,placed on IL with sprained left knee,#REF!
11/24/2010,Magic,Jason Williams,,returned to lineup,#REF!
11/24/2010,Magic,Malik Allen,,activated from IL,#REF!
11/24/2010,Thunder,,B.J. Mullens,placed on IL,#REF!
11/24/2010,Thunder,Morris Peterson,,activated from IL,#REF!
11/24/2010,Warriors,,Brandan Wright,strained lower back (DNP),#REF!
11/25/2010,Kings,,Francisco Garcia,placed on IL with illness,#REF!
11/25/2010,Kings,Antoine Wright,,activated from IL,#REF!
11/25/2010,Wizards,,Al Thornton,placed on IL with sprained left ankle,#REF!
11/25/2010,Wizards,Hamady N'Diaye,,activated from IL,#REF!
11/26/2010,Bucks,,Andrew Bogut,sore back (DNP),#REF!
11/26/2010,Bucks,,Carlos Delfino,strained neck (DNP),#REF!
11/26/2010,Bulls,,Derrick Rose,placed on IL with sore neck,#REF!
11/26/2010,Celtics,,Delonte West,placed on IL withi broken right wrist,#REF!
11/26/2010,Celtics,Rajon Rondo,,activated from IL,#REF!
11/26/2010,Grizzlies,,Acie Law,placed on IL with flu,#REF!
11/26/2010,Grizzlies,DeMarre Carroll,,activated from IL,#REF!
11/26/2010,Mavericks,Alex Ajinca,,activated from IL,#REF!
11/26/2010,Raptors,,Reggie Evans,broken right foot (out indefinitely),#REF!
11/26/2010,Thunder,,Nenad Krstic,placed on IL with back spasms,#REF!
11/26/2010,Thunder,B.J. Mullens,,activated from IL,#REF!
11/26/2010,Warriors,,Brandan Wright,strained lower back (DNP),#REF!
11/26/2010,Mavericks,,Brendan Haywood,placed on IL for suspension,#REF!
11/27/2010,76ers,,Craig Brackins,placed on IL,#REF!
11/27/2010,76ers,Darius Songaila,,activated from IL,#REF!
11/27/2010,Bucks,,Andrew Bogut,sore back (DNP),#REF!
11/27/2010,Bucks,,Carlos Delfino,placed on IL witih strained neck,#REF!
11/27/2010,Bucks,,Corey Maggette,sore left ankle (DNP),#REF!
11/27/2010,Bucks,,Drew Gooden,plantar fasciitis in left foot (DNP),#REF!
11/27/2010,Bucks,Chris Douglas-Roberts,,activated from IL,#REF!
11/27/2010,Bulls,,John Lucas III,placed on IL,#REF!
11/27/2010,Bulls,Derrick Rose,,activated from IL,#REF!
11/27/2010,Mavericks,,Alex Ajinca,placed on IL,#REF!
11/27/2010,Warriors,,Brandan Wright,placed on IL with strained lower back,#REF!
11/27/2010,Warriors,David Lee,,activated from IL,#REF!
11/27/2010,Wizards,,John Wall ,bruised right knee (P) / sore left knee (CBC) (DNP),#REF!
11/27/2010,Mavericks,Brendan Haywood,,activated from IL,#REF!
11/28/2010,Blazers,,Sean Marks,sprained right ankle (DNP),#REF!
11/28/2010,Clippers,,Randy Foye,strained left hamstring (DNP),#REF!
11/28/2010,Knicks,,Ronny Turiaf,placed on IL with sore left knee,#REF!
11/28/2010,Knicks,,Toney Douglas,bruised right quadriceps (DNP),#REF!
11/28/2010,Knicks,Shawne Williams,,activated from IL,#REF!
11/28/2010,Lakers,,Devin Ebanks,gastroenteritis (DNP),#REF!
11/28/2010,Nets,,Joe Smith ,placed on IL,#REF!
11/28/2010,Nets,Troy Murphy,,activated from IL,#REF!
11/28/2010,Nuggets,,Renaldo Balkman,placed on IL,#REF!
11/28/2010,Nuggets,Chauncey Billups,,activated from IL,#REF!
11/28/2010,Pacers,,Paul George,placed on IL,#REF!
11/28/2010,Pacers,Dahntay Jones,,activated from IL,#REF!
11/28/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP),#REF!
11/28/2010,Raptors,,Reggie Evans,broken right foot (DNP),#REF!
11/29/2010,Bucks,,Andrew Bogut,sore back (DNP),#REF!
11/29/2010,Bucks,,Corey Maggette,illness (DNP),#REF!
11/29/2010,Bucks,,Drew Gooden,left foot injury (DNP),#REF!
11/29/2010,Hornets,,Aaron Gray,placed on IL,#REF!
11/29/2010,Hornets,David Andersen,,activated from IL,#REF!
11/29/2010,Thunder,,B.J. Mullens,placed on IL,#REF!
11/29/2010,Thunder,Nenad Krstic,,activated from IL,#REF!
11/29/2010,Wizards,,John Wall ,bruised right knee (P) (DNP),#REF!
11/30/2010,Celtics,,Delonte West,surgery to repair broken right wrist,#REF!
11/30/2010,Grizzlies,,Darrell Arthur,placed on IL with strained left groin,#REF!
11/30/2010,Grizzlies,Acie Law,,activated from IL,#REF!
11/30/2010,Kings,Francisco Garcia,,activated from IL,#REF!
11/30/2010,Knicks,Toney Douglas,,returned to lineup,#REF!
11/30/2010,Magic,,Malik Allen,placed on IL,#REF!
11/30/2010,Magic,Vince Carter,,activated from IL,#REF!
12/1/2010,Bucks,,Andrew Bogut,sore back (DNP),#REF!
12/1/2010,Bulls,,Brian Scalabrine,placed on IL,#REF!
12/1/2010,Bulls,Carlos Boozer,,activated from IL,#REF!
12/1/2010,Clippers,,Randy Foye,placed on IL with strained left hamstring,#REF!
12/1/2010,Clippers,Baron Davis,,activated from IL,#REF!
12/1/2010,Hawks,,Joe Johnson,placed on IL with loose particle in right elbow,#REF!
12/1/2010,Hawks,Etan Thomas,,activated from IL,#REF!
12/1/2010,Magic,,J.J. Redick,placed on IL with stomach virus,#REF!
12/1/2010,Magic,Malik Allen,,activated from IL,#REF!
12/1/2010,Mavericks,,Dominique Jones,placed on IL,#REF!
12/1/2010,Mavericks,Steve Novak,,activated from IL,#REF!
12/1/2010,Nets,,Devin Harris,placed on IL with sprained left knee,#REF!
12/1/2010,Nets,Quinton Ross,,activated from IL,#REF!
12/1/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP),#REF!
12/1/2010,Raptors,,Reggie Evans,placed on IL recovering from surgery to repair broken right foot,#REF!
12/1/2010,Raptors,Ed Davis ,,activated from IL,#REF!
12/1/2010,Thunder,,Kevin Durant,placed on IL with sprained left knee,#REF!
12/1/2010,Thunder,B.J. Mullens,,activated from IL,#REF!
12/1/2010,Wizards,,Hamady N'Diaye,placed on IL,#REF!
12/1/2010,Wizards,Al Thornton,,activated from IL,#REF!
12/2/2010,Clippers,Chris Kaman,,activated from IL,#REF!
12/2/2010,Hawks,,Joe Johnson,arthroscopic surgery on right elbow to remove loose particle (out indefinitely),#REF!
12/3/2010,76ers,,Darius Songaila,placed on IL,#REF!
12/3/2010,76ers,Andre Iguodala,,activated from IL (P),#REF!
12/3/2010,Blazers,,Luke Babbitt,placed on IL,#REF!
12/3/2010,Blazers,Joel Przybilla,,activated from IL,#REF!
12/3/2010,Bobcats,,DeSagana Diop,placed on IL (P),#REF!
12/3/2010,Bulls,,Kurt Thomas,placed on IL,#REF!
12/3/2010,Bulls,Brian Scalabrine,,activated from IL,#REF!
12/3/2010,Clippers,,Willie Warren,placed on IL,#REF!
12/3/2010,Grizzlies,,DeMarre Carroll,placed on IL,#REF!
12/3/2010,Grizzlies,Darrell Arthur,,activated from IL,#REF!
12/3/2010,Hornets,,David West,stomach virus (DNP),#REF!
12/3/2010,Magic,,Dwight Howard,stomach virus (DNP),#REF!
12/3/2010,Magic,,Jameer Nelson,stomach virus (DNP),#REF!
12/3/2010,Magic,,Mickael Pietrus,placed on IL with stomach flu,#REF!
12/3/2010,Nuggets,,Melvin Ely,placed on IL,#REF!
12/3/2010,Nuggets,Renaldo Balkman,,activated from IL,#REF!
12/3/2010,Pacers,,Jeff Foster,placed on IL,#REF!
12/3/2010,Pacers,A.J. Price,,activated from IL,#REF!
12/3/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP),#REF!
12/3/2010,Wizards,,Nick Young,placed on IL with bruised left thigh,#REF!
12/3/2010,Wizards,Jianlian Yi,,activated from IL,#REF!
12/3/2010,Magic,J.J. Redick,,activated from IL,#REF!
12/3/2010,Magic,,J.J. Redick,stomach virus (DNP),#REF!
12/4/2010,Bucks,,Drew Gooden,placed on IL with left foot injury,#REF!
12/4/2010,Bulls,,Brian Scalabrine,placed on IL,#REF!
12/4/2010,Bulls,Kurt Thomas,,activated from IL,#REF!
12/4/2010,Cavaliers,,J.J. Hickson,placed on IL with illness,#REF!
12/4/2010,Cavaliers,,Joey Graham,placed on IL with illness,#REF!
12/4/2010,Cavaliers,Manny Harris,,activated from IL,#REF!
12/4/2010,Cavaliers,Samardo Samuels,,activated from IL,#REF!
12/4/2010,Magic,,Dwight Howard,stomach virus (DNP),#REF!
12/4/2010,Magic,,J.J. Redick,stomach virus (DNP),#REF!
12/4/2010,Magic,,Jameer Nelson,stomach virus (DNP),#REF!
12/4/2010,Magic,,Ryan Anderson,sprained right foot (DNP),#REF!
12/4/2010,Timberwolves,,Anthony Tolliver,placed on IL with sprained MCL in right knee,#REF!
12/4/2010,Timberwolves,,Michael Beasley,sprained right ankle (DNP),#REF!
12/4/2010,Timberwolves,Nikola Pekovic,,activated from IL,#REF!
12/5/2010,Cavaliers,,Manny Harris,placed on IL,#REF!
12/5/2010,Cavaliers,,Samardo Samuels,placed on IL,#REF!
12/5/2010,Cavaliers,J.J. Hickson,,activated from IL,#REF!
12/5/2010,Cavaliers,Joey Graham,,activated from iL,#REF!
12/5/2010,Celtics,,Rajon Rondo,strained hamstring (DNP),#REF!
12/5/2010,Grizzlies,DeMarre Carroll,,activated from IL,#REF!
12/5/2010,Hornets,,Didier Mbenga ,placed on IL with illness,#REF!
12/5/2010,Hornets,Aaron Gray,,activated from IL,#REF!
12/5/2010,Nets,,Ben Uzoh,placed on IL,#REF!
12/5/2010,Nets,Devin Harris,,activated from IL,#REF!
12/5/2010,Nuggets,,Chris Andersen,placed on IL with fracture in lower back,#REF!
12/5/2010,Nuggets,Melvin Ely,,activated from IL,#REF!
12/5/2010,Raptors,,Peja Stojakovic,sore/swollen left knee (DNP),#REF!
12/5/2010,Thunder,,D.J. White,sprained right ankle (DTD),#REF!
12/5/2010,Thunder,,Morris Peterson,placed on IL,#REF!
12/5/2010,Thunder,Kevin Durant,,activated from IL,#REF!
12/5/2010,Warriors,,Rodney Carney,sprained left foot (DTD),#REF!
12/5/2010,Wizards,,Kevin Seraphin,placed on IL (P),#REF!
12/5/2010,Wizards,Nick Young,,activated from IL,#REF!
12/6/2010,Bucks,,Brian Skinner,placed on IL,#REF!
12/6/2010,Bulls,,Kurt Thomas,placed on IL,#REF!
12/6/2010,Bulls,Brian Scalabrine,,activated from IL,#REF!
12/6/2010,Clippers,,Chris Kaman,placed on IL with sprained left ankle,#REF!
12/6/2010,Clippers,Willie Warren,,activated from IL,#REF!
12/6/2010,Hawks,,Jordan Crawford,placed on IL,#REF!
12/6/2010,Knicks,,Bill Walker,placed on IL,#REF!
12/6/2010,Knicks,Ronny Turiaf,,activated from IL,#REF!
12/6/2010,Magic,,Jameer Nelson,stomach flu (DNP),#REF!
12/6/2010,Magic,,Ryan Anderson,placed on IL,#REF!
12/6/2010,Magic,Mickael Pietrus,,activated from IL,#REF!
12/6/2010,Bucks,Drew Gooden,,activated from IL,#REF!
12/6/2010,Bucks,,Drew Gooden,patella tendinitis in left foot (DNP),#REF!
12/7/2010,Mavericks,,Tyson Chandler,placed on IL with stomach flu,#REF!
12/7/2010,Mavericks,Alex Ajinca,,activated from IL,#REF!
12/7/2010,Nets,,Stephen Graham,placed on IL,#REF!
12/7/2010,Nets,Ben Uzoh,,activated from IL,#REF!
12/7/2010,Pistons,DaJuan Summers,,activated from IL,#REF!
12/7/2010,Warriors,,Rodney Carney,placed on IL with sprained left ankle,#REF!
12/7/2010,Warriors,Lou Amundson,,activated from IL,#REF!
12/7/2010,Wizards,,Andray Blatche,placed on IL with bruised hip,#REF!
12/7/2010,Wizards,Kevin Seraphin,,activated from IL,#REF!
12/8/2010,Bucks,,Drew Gooden,placed on IL,#REF!
12/8/2010,Bucks,Brian Skinner,,activated from IL,#REF!
12/8/2010,Bulls,,Brian Scalabrine,placed on IL,#REF!
12/8/2010,Bulls,Kurt Thomas,,activated from IL,#REF!
12/8/2010,Cavaliers,,Jamario Moon,placed on IL,#REF!
12/8/2010,Cavaliers,Manny Harris,,activated from IL,#REF!
12/8/2010,Celtics,Rajon Rondo,,returned to lineup,#REF!
12/8/2010,Hornets,,Aaron Gray,placed on IL,#REF!
12/8/2010,Hornets,Didier Mbenga ,,activated from IL,#REF!
12/8/2010,Jazz,,Kyrylo Fesenko,sprained left ankle (DNP),#REF!
12/8/2010,Knicks,,Andy Rautins,placed on IL,#REF!
12/8/2010,Knicks,Bill Walker,,activated from IL,#REF!
12/8/2010,Nuggets,,Carmelo Anthony,right knee inflammation (DNP),#REF!
12/8/2010,Pacers,,Dahntay Jones,placed on IL,#REF!
12/8/2010,Pacers,Jeff Foster,,activated from IL,#REF!
12/8/2010,Pistons,,DaJuan Summers,placed on IL,#REF!
12/8/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP),#REF!
12/8/2010,Timberwolves,,Darko Milicic,bruised right quadriceps (DNP),#REF!
12/8/2010,Wizards,,John Wall ,sore left foot (DNP),#REF!
12/9/2010,76ers,,Jason Kapono,placed on IL with calf injury,#REF!
12/9/2010,76ers,Darius Songaila,,activated from IL,#REF!
12/9/2010,Celtics,,Shaquille O'Neal,sore right calf (P) / sore left knee (CBC) (DNP),#REF!
12/9/2010,Mavericks,,Alex Ajinca,placed on IL,#REF!
12/9/2010,Mavericks,Tyson Chandler,,activated from IL,#REF!
12/9/2010,Nets,,Ben Uzoh,placed on IL,#REF!
12/9/2010,Nets,,Derrick Favors,placed on IL with bruised thigh,#REF!
12/9/2010,Nets,Joe Smith ,,activated from IL,#REF!
12/10/2010,Bobcats,,Tyrus Thomas,quadriceps injury (DTD),#REF!
12/10/2010,Hawks,,Zaza Pachulia,illness (DTD),#REF!
12/10/2010,Jazz,,Raja Bell,groin injury (DTD),#REF!
12/10/2010,Raptors,,Jose Calderon,sore left foot (DTD),#REF!
12/10/2010,Thunder,,Nenad Krstic,back injury (DTD),#REF!
12/10/2010,Thunder,D.J. White,,returned to lineup,#REF!
12/10/2010,Timberwolves,Darko Milicic,,returned to lineup,#REF!
12/10/2010,Warriors,,Stephen Curry,sprained right ankle (DTD),#REF!
12/10/2010,Warriors,Ekpe Udoh,,activated from IL,#REF!
12/10/2010,Wizards,Andray Blatche,,activated from IL,#REF!
12/11/2010,Bobcats,,Sherron Collins,placed on IL,#REF!
12/11/2010,Bobcats,,Tyrus Thomas,placed on IL,#REF!
12/11/2010,Bobcats,DeSagana Diop,,activated from IL,#REF!
12/11/2010,Bobcats,Eduardo Najera,,activated from IL,#REF!
12/11/2010,Bulls,,Kurt Thomas,placed on IL,#REF!
12/11/2010,Bulls,Brian Scalabrine,,activated from IL,#REF!
12/11/2010,Cavaliers,,Ryan Hollins,stomach virus (DTD),#REF!
12/11/2010,Hawks,,Zaza Pachulia,placed on IL with illness,#REF!
12/11/2010,Hawks,Jordan Crawford,,activated from IL,#REF!
12/11/2010,Jazz,,Kyrylo Fesenko,sprained left ankle (DNP),#REF!
12/11/2010,Jazz,,Raja Bell,strained right abductor (DNP),#REF!
12/11/2010,Nuggets,,Carmelo Anthony,right knee patella tendinitis (DNP),#REF!
12/11/2010,Pacers,,Jeff Foster,placed on IL,#REF!
12/11/2010,Pacers,Dahntay Jones,,activated from IL,#REF!
12/11/2010,Raptors,,Jose Calderon,placed on IL with left foot injury,#REF!
12/11/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP),#REF!
12/11/2010,Raptors,Solomon Alabi,,activated from IL,#REF!
12/11/2010,Thunder,,B.J. Mullens,placed on IL,#REF!
12/11/2010,Thunder,Morris Peterson,,activated from IL,#REF!
12/11/2010,Warriors,,Stephen Curry,placed on IL with sprained left ankle (P),#REF!
12/11/2010,Wizards,,Kevin Seraphin,placed on IL,#REF!
12/12/2010,Magic,,Chris Duhon,strained lower back (DNP),#REF!
12/12/2010,Nets,,Damion James,placed on IL with broken right foot,#REF!
12/12/2010,Nets,,Troy Murphy,placed on IL,#REF!
12/12/2010,Nets,Derrick Favors,,activated from IL,#REF!
12/12/2010,Nets,Stephen Graham,,activated from IL,#REF!
12/12/2010,Thunder,,Nenad Krstic,placed on IL with sprained lower back,#REF!
12/12/2010,Thunder,B.J. Mullens,,activated from IL,#REF!
12/13/2010,Bucks,,Brian Skinner,placed on IL,#REF!
12/13/2010,Bucks,Drew Gooden,,activated from IL,#REF!
12/13/2010,Grizzlies,,DeMarre Carroll,placed on IL,#REF!
12/13/2010,Grizzlies,Hamed Haddadi,,activated (P),#REF!
12/13/2010,Hornets,,Didier Mbenga ,placed on IL,#REF!
12/13/2010,Hornets,Aaron Gray,,activated from IL,#REF!
12/13/2010,Jazz,,Raja Bell,strained right abductor (DNP),#REF!
12/13/2010,Mavericks,,Alex Ajinca,placed on IL (P),#REF!
12/13/2010,Mavericks,Brian Cardinal,,activated,#REF!
12/13/2010,Nets,,Damion James,surgery to insert screw to repair broken right foot (out indefinitely),#REF!
12/13/2010,Pacers,,A.J. Price,placed on IL,#REF!
12/13/2010,Pacers,,Danny Granger,placed on IL with sprained left ankle,#REF!
12/13/2010,Pacers,Dahntay Jones,,activated from IL (P),#REF!
12/13/2010,Pacers,Paul George,,activated from IL,#REF!
12/14/2010,Bobcats,,DeSagana Diop,placed on IL,#REF!
12/14/2010,Bobcats,,Eduardo Najera,placed on IL,#REF!
12/14/2010,Bobcats,Gerald Henderson Jr.,,activated from IL,#REF!
12/14/2010,Bobcats,Tyrus Thomas,,activated from IL,#REF!
12/14/2010,Kings,,Tyreke Evans,left foot injury (DTD),#REF!
12/14/2010,Lakers,,Devin Ebanks,placed on IL,#REF!
12/14/2010,Lakers,Andrew Bynum,,activated from IL,#REF!
12/14/2010,Magic,,Mickael Pietrus,sprained left knee (DNP),#REF!
12/14/2010,Magic,,Quentin Richardson,sore left elbow (DNP),#REF!
12/14/2010,Nets,,Terrence Williams,placed on IL,#REF!
12/14/2010,Nets,Ben Uzoh,,activated from IL,#REF!
12/14/2010,Nuggets,,Chauncey Billups,sprained right wrist (DNP),#REF!
12/14/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP),#REF!
12/14/2010,Timberwolves,,Kosta Koufos,placed on IL,#REF!
12/14/2010,Timberwolves,,Sundiata Gaines,placed on IL,#REF!
12/14/2010,Timberwolves,Jonny Flynn,,activated from IL,#REF!
12/14/2010,Timberwolves,Martell Webster,,activated from IL,#REF!
12/14/2010,Wizards,,Andray Blatche,placed on IL with sore left knee,#REF!
12/14/2010,Wizards,,John Wall ,placed on IL with right knee tendinitis (P) / sore left foot (CBC),#REF!
12/14/2010,Wizards,Hamady N'Diaye,,activated from IL,#REF!
12/14/2010,Wizards,Kevin Seraphin,,activated from IL,#REF!
12/15/2010,Bobcats,,Gerald Wallace,placed on IL with sprained left ankle,#REF!
12/15/2010,Bobcats,DeSagana Diop,,activated from IL,#REF!
12/15/2010,Bucks,,John Salmons,back spasms (DNP),#REF!
12/15/2010,Bulls,,Joakim Noah,torn ligament in right thumb (out indefinitely),#REF!
12/15/2010,Bulls,,Kurt Thomas,placed on IL (P),#REF!
12/15/2010,Bulls,Brian Scalabrine,,activated from IL (P),#REF!
12/15/2010,Celtics,,Shaquille O'Neal,sore right calf (DNP),#REF!
12/15/2010,Clippers,,Willie Warren,placed on IL,#REF!
12/15/2010,Clippers,Randy Foye,,activated from IL,#REF!
12/15/2010,Hornets,,Aaron Gray,placed on IL,#REF!
12/15/2010,Hornets,Didier Mbenga ,,activated from IL,#REF!
12/15/2010,Lakers,Devin Ebanks,,activated from IL,#REF!
12/15/2010,Pacers,Danny Granger,,activated from IL,#REF!
12/15/2010,Raptors,,Andrea Bargnani,sore left knee (DNP),#REF!
12/15/2010,Raptors,,Peja Stojakovic,swollen left knee (DNP),#REF!
