Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,salary
34,Sterling Brown,SG,26,DAL,9,0,2.9,0.3,1.1,0.3,0,0.4,0,0.3,0.7,0.5,0.3,0.6,0.8,0.714,0.1,0.8,0.9,0.3,0.4,0.2,0.3,0,1.2,1618520.00
35,Troy Brown Jr.,SF,22,CHI,3,0,12.3,1.7,5.7,0.294,0.7,3.7,0.182,1,2,0.5,0.353,0,0,0,0.3,2.3,2.7,1,0.7,0,1,0.7,4,#N/A
36,Jalen Brunson,PG,25,DAL,18,18,34.9,8.1,17.3,0.466,1.4,4.2,0.347,6.6,13.1,0.504,0.508,4,5,0.8,0.8,3.8,4.6,3.7,0.8,0.1,1.1,2.1,21.6,1416852.00
37,Reggie Bullock,SF,30,DAL,18,18,39.3,3.4,8.4,0.404,2.9,7.3,0.397,0.5,1.1,0.45,0.576,0.9,1,0.889,0.4,4.1,4.6,1.7,1.2,0.1,0.4,2.7,10.6,4000000.00
38,Trey Burke,PG,29,DAL,10,0,3.7,1.1,2.2,0.5,0.4,1,0.4,0.7,1.2,0.583,0.591,0.6,0.6,1,0,0.3,0.3,0.4,0.1,0,0.1,0.3,3.2,#N/A
39,Jared Butler,SG,21,UTA,1,0,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,#N/A
40,Jimmy Butler,SF,32,MIA,17,17,37,9.8,19.3,0.506,1.4,4,0.338,8.4,15.3,0.55,0.541,6.5,7.8,0.841,2.4,4.9,7.4,4.6,2.1,0.6,1.5,1.5,27.4,32742000.00
41,Facundo Campazzo,PG,30,DEN,4,0,3.3,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.8,0.8,0.5,0,0,0.5,0.8,0,#N/A
42,Vlatko ?an?ar,PF,24,DEN,2,0,4.5,1,1.5,0.667,0.5,1,0.5,0.5,0.5,1,0.833,0,0,0,0,1,1,0.5,0,0,1,0,2.5,#N/A
43,Clint Capela,C,27,ATL,2,2,20,1,3,0.333,0,0,0,1,3,0.333,0.333,0,0,0,2,5.5,7.5,0,0.5,0.5,0.5,1,2,16896552.00
44,Jevon Carter,PG,26,MIL,11,0,11.5,0.8,1.7,0.474,0.3,0.6,0.429,0.5,1.1,0.5,0.553,0.2,0.2,1,0.3,1.2,1.5,0.9,0.7,0,0.5,1.1,2.1,1416852.00
45,Alex Caruso,SG,27,CHI,4,4,28.3,2.3,5.8,0.391,1.8,4.5,0.389,0.5,1.3,0.4,0.543,0,0,0,0.5,2.3,2.8,4.3,1.3,1,0.3,2.8,6.3,2750000.00
46,Marquese Chriss,PF,24,DAL,8,0,3.8,0.5,1,0.5,0.1,0.3,0.5,0.4,0.8,0.5,0.563,0.6,0.8,0.833,0.5,0.6,1.1,0,0,0,0.1,0.4,1.8,#N/A
47,Brandon Clarke,PF,25,MEM,12,0,24.7,4.7,7.6,0.615,0,0.1,0,4.7,7.5,0.622,0.615,3,4.5,0.667,3.1,3.8,6.9,2,0.8,0.8,1,1.9,12.3,2478840.00
48,Jordan Clarkson,SG,29,UTA,6,0,28.3,6.7,12.2,0.548,1.5,4,0.375,5.2,8.2,0.633,0.61,2.7,3,0.889,0.8,2.3,3.2,1.3,0.5,0.2,1.7,2.8,17.5,13437500.00
49,Nic Claxton,C,22,BRK,4,0,24.5,4.8,6,0.792,0,0,0,4.8,6,0.792,0.792,1,5.5,0.182,1.8,4.5,6.3,1.5,1.3,2.3,0.5,1.5,10.5,#N/A
50,John Collins,PF,24,ATL,5,4,24.4,3.8,7.8,0.487,0.8,2.2,0.364,3,5.6,0.536,0.538,1,2,0.5,0.4,4.2,4.6,1.2,0.4,0.2,1,2.4,9.4,2686560.00
51,Mike Conley,PG,34,UTA,6,6,29,3.2,9.5,0.333,0.8,4.2,0.2,2.3,5.3,0.438,0.377,2,2.5,0.8,0.3,2.8,3.2,4.8,0.8,0.3,2.2,3.2,9.2,32511623.00
52,Pat Connaughton,SG,29,MIL,12,0,26.5,3.5,7.3,0.477,2.1,5.3,0.391,1.4,2,0.708,0.619,0.4,0.4,1,0.3,4,4.3,0.9,0.4,0.3,0.6,1.2,9.5,1723050.00
53,DeMarcus Cousins,C,31,DEN,5,0,11.4,3.8,5.8,0.655,0.8,1.2,0.667,3,4.6,0.652,0.724,2.2,3,0.733,0.6,2.8,3.4,1.2,0.6,0.2,1.4,1.8,10.6,3500000.00
54,Torrey Craig,SF,31,PHO,9,0,7.7,0.9,2.4,0.364,0.3,1.1,0.3,0.6,1.3,0.417,0.432,0.1,0.2,0.5,0.6,1.1,1.7,0.6,0.4,0.2,0.4,0.7,2.2,2000000.00
55,Jae Crowder,PF,31,PHO,13,13,29.5,3.2,8.1,0.4,1.5,4.8,0.302,1.8,3.2,0.548,0.49,1.5,2,0.731,0.6,4.1,4.7,2.4,1,0.5,1.5,3.6,9.4,7815533.00
56,Jarrett Culver,SG,22,MEM,3,0,7.3,1,3.3,0.3,0,0.7,0,1,2.7,0.375,0.3,0.3,0.7,0.5,0.7,1.7,2.3,0.3,0.7,0,0.7,1.3,2.3,5813640.00
57,Seth Curry,SG,31,BRK,4,4,33,5.5,9.8,0.564,3,5.8,0.522,2.5,4,0.625,0.718,0.5,0.8,0.667,0.5,2,2.5,3,0.3,0.8,0.8,3.8,14.5,7461380.00
58,Stephen Curry,PG,33,GSW,22,18,34.7,9.2,20,0.459,4.1,10.4,0.397,5,9.6,0.526,0.563,4.9,5.9,0.829,0.5,4.7,5.2,5.9,1.3,0.4,2.6,2.7,27.4,40231758.00
59,Dewayne Dedmon,C,32,MIA,14,0,9.9,1.5,3.2,0.467,0.1,0.7,0.1,1.4,2.5,0.571,0.478,0.7,0.9,0.833,1.1,1.9,3,0.4,0.1,0.2,0.5,2.6,3.8,13333334.00
60,DeMar DeRozan,PF,32,CHI,5,5,40.6,7.8,19,0.411,0,1.8,0,7.8,17.2,0.453,0.411,5.2,6,0.867,0.2,5.2,5.4,4.8,1.8,0.4,2.2,2.4,20.8,27739975.00
61,Gorgui Dieng,C,32,ATL,2,0,5,0.5,1,0.5,0,0.5,0,0.5,0.5,1,0.5,0.5,0.5,1,0.5,1,1.5,0,0,0,0,0,1.5,16229213.00
62,Spencer Dinwiddie,PG,28,DAL,18,3,27.8,4.4,10.7,0.417,2.2,5.3,0.417,2.2,5.3,0.417,0.521,3.1,3.7,0.821,0.4,2,2.4,3.6,0.8,0.3,1.6,2.3,14.2,10605600.00
63,Luka Don?i?,PG,22,DAL,15,15,36.8,10.7,23.5,0.455,3.4,9.9,0.345,7.3,13.6,0.534,0.527,6.9,9,0.77,0.7,9.1,9.8,6.4,1.8,0.6,3.9,2.9,31.7,7683360.00
