full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,TWITTER_FOLLOWER_COUNT_MILLIONS
Dario Saric,77,#20,Phoenix Suns,F,4/8/1994,6-10 / 2.08,216 lbs. / 98 kg.,3481985,Croatia,2014,1,12,N/A,NBA2k20,N/A,N/A,N/A
Darius Bazley,70,#7,Oklahoma City Thunder,F,6/12/2000,6-8 / 2.03,200 lbs. / 90.7 kg.,2284800,USA,2019,1,23,N/A,NBA2k20,N/A,N/A,N/A
Darius Garland,77,#10,Cleveland Cavaliers,G,6/26/2000,6-1 / 1.85,175 lbs. / 79.4 kg.,6400920,USA,2019,1,5,Vanderbilt,NBA2k20,N/A,N/A,N/A
Darius Miller,72,#21,New Orleans Pelicans,F,3/21/1990,6-6 / 1.98,225 lbs. / 102.1 kg.,7250000,USA,2012,2,46,Kentucky,NBA2k20,N/A,N/A,N/A
David Nwaba,73,#0,Houston Rockets,G,1/14/1993,6-5 / 1.96,210 lbs. / 95.3 kg.,2581965,USA,2016,Undrafted,Undrafted,Cal Poly,NBA2k20,0,3,N/A
Davis Bertans,76,#42,Washington Wizards,F,11/12/1992,6-10 / 2.08,211 lbs. / 95.7 kg.,7000000,Latvia,2011,2,42,N/A,NBA2k20,N/A,N/A,N/A
De'Aaron Fox,86,#5,Sacramento Kings,G,12/20/1997,6-3 / 1.91,171 lbs. / 77.6 kg.,6392760,USA,2017,1,5,Kentucky,NBA2k20,N/A,N/A,N/A
Deandre Ayton,82,#22,Phoenix Suns,C,7/23/1998,6-11 / 2.11,250 lbs. / 113.4 kg.,9562920,The Bahamas,2018,1,1,Arizona,NBA2k20,N/A,N/A,N/A
DeAndre Bembry,73,#95,Atlanta Hawks,F,7/4/1994,6-5 / 1.96,207 lbs. / 93.9 kg.,2603981,USA,2016,1,21,Saint Joseph's,NBA2k20,N/A,N/A,N/A
De'Andre Hunter,77,#12,Atlanta Hawks,F,12/1/1997,6-7 / 2.01,225 lbs. / 102.1 kg.,7068360,USA,2019,1,4,Virginia,NBA2k20,N/A,N/A,N/A
DeAndre Jordan,81,#6,Brooklyn Nets,C,7/21/1988,6-11 / 2.11,265 lbs. / 120.2 kg.,9881598,USA,2008,2,35,Texas A&M,NBA2k20,189.5,27,0.984
De'Anthony Melton,72,#0,Memphis Grizzlies,G,5/28/1998,6-2 / 1.88,190 lbs. / 86.2 kg.,1416852,USA,2018,2,46,USC,NBA2k20,N/A,N/A,N/A
Dejounte Murray,78,#5,San Antonio Spurs,G,9/19/1996,6-4 / 1.93,170 lbs. / 77.1 kg.,2321735,USA,2016,1,29,Washington,NBA2k20,N/A,N/A,N/A
Delon Wright,76,#55,Dallas Mavericks,G,4/26/1992,6-5 / 1.96,181 lbs. / 82.1 kg.,9473684,USA,2015,1,20,Utah,NBA2k20,11.5,14,N/A
DeMar DeRozan,87,#10,San Antonio Spurs,G-F,8/7/1989,6-6 / 1.98,220 lbs. / 99.8 kg.,27739975,USA,2009,1,9,USC,NBA2k20,0,186,0.58
DeMarcus Cousins,86,#0,Free agent,C,8/13/1990,6-10 / 2.08,270 lbs. / 122.5 kg.,3500000,USA,2010,1,5,Kentucky,NBA2k20,102,91.5,0.826
DeMarre Carroll,77,#0,Houston Rockets,F,7/27/1986,6-6 / 1.98,212 lbs. / 96.2 kg.,7339258,USA,2009,1,27,Missouri,NBA2k20,29.5,8,N/A
Dennis Schroeder,78,#17,Oklahoma City Thunder,G,9/15/1993,6-1 / 1.85,172 lbs. / 78 kg.,15500000,Germany,2013,1,17,N/A,NBA2k20,N/A,N/A,N/A
Dennis Smith,77,#5,New York Knicks,G,11/25/1997,6-2 / 1.88,195 lbs. / 88.5 kg.,4463640,USA,2017,1,9,NC State,NBA2k20,N/A,N/A,N/A
Denzel Valentine,74,#45,Chicago Bulls,G,11/16/1993,6-4 / 1.93,210 lbs. / 95.3 kg.,3377568,USA,2016,1,14,Michigan State,NBA2k20,23,24,N/A
Deonte Burton,70,#30,Oklahoma City Thunder,G,6/26/1991,6-4 / 1.93,240 lbs. / 108.9 kg.,1416852,USA,2014,Undrafted,Undrafted,Iowa State,NBA2k20,N/A,N/A,N/A
Derrick Favors,80,#22,New Orleans Pelicans,F,7/15/1991,6-9 / 2.06,246 lbs. / 111.6 kg.,17650000,USA,2010,1,3,Georgia Tech,NBA2k20,25,6.5,N/A
Derrick Jones,74,#5,Miami Heat,F,2/15/1997,6-6 / 1.98,195 lbs. / 88.5 kg.,1645357,USA,2016,Undrafted,Undrafted,UNLV,NBA2k20,0,74,N/A
Derrick Rose,80,#25,Detroit Pistons,G,10/4/1988,6-2 / 1.88,190 lbs. / 86.2 kg.,7317074,USA,2008,1,1,Memphis,NBA2k20,1864,2504.5,N/A
Derrick White,78,#4,San Antonio Spurs,G,7/2/1994,6-4 / 1.93,200 lbs. / 90.7 kg.,1948080,USA,2017,1,29,Colorado,NBA2k20,N/A,N/A,N/A
Devin Booker,86,#1,Phoenix Suns,G,10/30/1996,6-5 / 1.96,206 lbs. / 93.4 kg.,27285000,USA,2015,1,13,Kentucky,NBA2k20,1170.5,335.5,N/A
Devonte Graham,69,#0,Charlotte Hornets,G,2/22/1995,6-1 / 1.85,185 lbs. / 83.9 kg.,1416852,USA,2018,2,34,Kansas,NBA2k20,N/A,N/A,N/A
Dewayne Dedmon,76,#0,Atlanta Hawks,C,8/12/1989,7-0 / 2.13,239 lbs. / 108.4 kg.,13333334,USA,2013,Undrafted,Undrafted,USC,NBA2k20,N/A,N/A,0.015
Deyonta Davis,71,#0,Free agent,F-C,12/2/1996,6-10 / 2.08,240 lbs. / 108.9 kg.,250000,USA,2016,2,31,Michigan State,NBA2k20,N/A,N/A,N/A
Dillon Brooks,74,#24,Memphis Grizzlies,G-F,1/22/1996,6-7 / 2.01,225 lbs. / 102.1 kg.,1618520,Canada,2017,2,45,Oregon,NBA2k20,N/A,N/A,N/A
Dion Waiters,76,#11,Los Angeles Lakers,G,12/10/1991,6-3 / 1.91,210 lbs. / 95.3 kg.,12475385,USA,2012,1,4,Syracuse,NBA2k20,0,7,N/A
DJ Augustin,76,#14,Orlando Magic,G,11/10/1987,5-11 / 1.80,180 lbs. / 81.6 kg.,7250000,USA,2008,1,9,Texas,NBA2k20,N/A,N/A,N/A
DJ Wilson,72,#5,Milwaukee Bucks,F,2/19/1996,6-10 / 2.08,234 lbs. / 106.1 kg.,2961120,USA,2017,1,17,Michigan,NBA2k20,N/A,N/A,N/A
Domantas Sabonis,81,#11,Indiana Pacers,F-C,5/3/1996,6-11 / 2.11,231 lbs. / 104.8 kg.,3529554,Lithuania,2016,1,11,Gonzaga,NBA2k20,0,82,N/A
Donovan Mitchell,88,#45,Utah Jazz,G,9/7/1996,6-1 / 1.85,211 lbs. / 95.7 kg.,3635760,USA,2017,1,13,Louisville,NBA2k20,N/A,N/A,N/A
Donovan Mitchell,88,#45,Utah Jazz,G,9/7/1996,6-1 / 1.85,211 lbs. / 95.7 kg.,5195501,USA,2017,1,13,Louisville,NBA2k21,N/A,N/A,N/A
Donte DiVincenzo,72,#0,Milwaukee Bucks,G,1/31/1997,6-4 / 1.93,205 lbs. / 93 kg.,2905800,USA,2018,1,17,Villanova,NBA2k20,N/A,N/A,N/A
Dorian Finney-Smith,73,#10,Dallas Mavericks,F,5/4/1993,6-7 / 2.01,213 lbs. / 96.6 kg.,4000000,USA,2016,Undrafted,Undrafted,Florida,NBA2k20,N/A,N/A,N/A
Doug McDermott,74,#20,Indiana Pacers,F,1/3/1992,6-7 / 2.01,218 lbs. / 98.9 kg.,7333333,USA,2014,1,11,Creighton,NBA2k20,N/A,N/A,N/A
Draymond Green,86,#23,Golden State Warriors,F,3/4/1990,6-6 / 1.98,230 lbs. / 104.3 kg.,18539130,USA,2012,2,35,Michigan State,NBA2k20,627,168.5,0.911
Duncan Robinson,67,#55,Miami Heat,F,4/22/1994,6-7 / 2.01,215 lbs. / 97.5 kg.,1416852,USA,2018,Undrafted,Undrafted,Michigan,NBA2k20,N/A,N/A,N/A
Dwayne Bacon,73,#7,Charlotte Hornets,G,8/30/1995,6-6 / 1.98,220 lbs. / 99.8 kg.,1618520,USA,2017,2,40,Florida State,NBA2k20,N/A,N/A,N/A
Dwight Powell,77,#7,Dallas Mavericks,F-C,7/20/1991,6-10 / 2.08,234 lbs. / 106.1 kg.,10259375,Canada,2014,2,45,Stanford,NBA2k20,0,10,N/A
Dzanan Musa,71,#13,Brooklyn Nets,F,5/8/1999,6-9 / 2.06,195 lbs. / 88.5 kg.,1911600,Bosnia and Herzegovina,2018,1,29,N/A,NBA2k20,N/A,N/A,N/A
Ed Davis,77,#17,Utah Jazz,F,6/5/1989,6-9 / 2.06,215 lbs. / 97.5 kg.,4767000,USA,2010,1,13,North Carolina,NBA2k20,N/A,N/A,N/A
Edmond Sumner,71,#5,Indiana Pacers,G,12/13/1995,6-4 / 1.93,186 lbs. / 84.4 kg.,2000000,USA,2017,2,52,Xavier,NBA2k20,N/A,N/A,N/A
Elfrid Payton,76,#6,New York Knicks,G,2/22/1994,6-3 / 1.91,185 lbs. / 83.9 kg.,8000000,USA,2014,1,10,Louisiana,NBA2k20,19,8,0.05
Elie Okobo,71,#2,Phoenix Suns,G,10/23/1997,6-3 / 1.91,190 lbs. / 86.2 kg.,1416852,France,2018,2,31,N/A,NBA2k20,N/A,N/A,N/A
Emmanuel Mudiay,76,#8,Utah Jazz,G,3/5/1996,6-3 / 1.91,190 lbs. / 86.2 kg.,1737145,Democratic Republic of the Congo,2015,1,7,N/A,NBA2k20,69,21,N/A
Enes Kanter,80,#11,Boston Celtics,C,5/20/1992,6-10 / 2.08,262 lbs. / 118.8 kg.,4767000,Turkey,2011,1,3,N/A,NBA2k20,147,195,0.489
Eric Bledsoe,85,#6,Milwaukee Bucks,G,12/9/1989,6-1 / 1.85,195 lbs. / 88.5 kg.,15625000,USA,2010,1,18,Kentucky,NBA2k20,9,30.5,0.199
Eric Gordon,78,#10,Houston Rockets,G,12/25/1988,6-3 / 1.91,215 lbs. / 97.5 kg.,14057730,USA,2008,1,7,Indiana,NBA2k20,55,26,N/A
Eric Paschall,71,#7,Golden State Warriors,F,11/4/1996,6-6 / 1.98,255 lbs. / 115.7 kg.,898310,USA,2019,2,41,Villanova,NBA2k20,N/A,N/A,N/A
Ersan Ilyasova,76,#7,Milwaukee Bucks,F,5/15/1987,6-9 / 2.06,235 lbs. / 106.6 kg.,7000000,Turkey,2005,2,36,N/A,NBA2k20,N/A,N/A,N/A
E'Twaun Moore,74,#55,New Orleans Pelicans,G,2/25/1989,6-3 / 1.91,191 lbs. / 86.6 kg.,8664928,USA,2011,2,55,Purdue,NBA2k20,0,10,N/A
