rating,height,weight,salary,draft_year,draft_round,draft_peak,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,TWITTER_FOLLOWER_COUNT_MILLIONS,Experience,Age,bmi,team_salary,position_C,position_C-F,position_F,position_F-C,position_F-G,position_G,position_G-F,country_USA,country_not USA
71,1.91,85.7,0.04326595681359541,2013,1,7,30.0,17.0,2.850071428571429,10.0,30.0,23.49168060086072,6,0,0,0,0,0,1,0,1,0
87,2.08,108.9,0.17633410586603396,2016,1,1,583.257281553398,198.99757281553397,2.850071428571429,7.0,27.0,25.17104289940828,6,0,0,1,0,0,0,0,0,1
75,2.03,103.9,0.37064600822121274,2011,1,7,583.257281553398,198.99757281553397,2.850071428571429,12.0,31.0,25.212938921109476,5,1,0,0,0,0,0,0,0,1
88,2.06,114.3,0.752224739796662,2009,1,1,269.0,98.5,4.19,14.0,34.0,26.93467810349703,2,0,0,1,0,0,0,0,1,0
75,2.24,131.5,0.07544122291228224,2010,0,0,583.257281553398,198.99757281553397,0.0,13.0,35.0,26.207748724489793,6,1,0,0,0,0,0,0,0,1
78,2.08,111.6,0.3269119659532231,2015,1,22,37.0,73.0,2.850071428571429,8.0,28.0,25.795118343195263,1,0,0,0,1,0,0,0,1,0
78,1.98,93.0,0.18541891286530007,2014,1,27,583.257281553398,198.99757281553397,2.850071428571429,9.0,31.0,23.72206917661463,3,0,0,0,0,0,1,0,0,1
83,2.03,98.0,0.37064600822121274,2011,2,31,583.257281553398,198.99757281553397,2.850071428571429,12.0,34.0,23.78121284185494,6,0,0,0,0,0,0,1,0,1
73,1.91,95.3,0.030519735795653216,2011,0,0,583.257281553398,198.99757281553397,2.850071428571429,12.0,34.0,26.12318741262575,4,0,0,0,0,0,1,0,1,0
87,1.91,93.9,0.5913502461330032,2012,1,3,55.5,40.5,0.276,11.0,30.0,25.739426002576685,6,0,0,0,0,0,1,0,1,0
88,1.91,93.9,0.6276222986411439,2012,1,3,55.5,40.5,0.276,11.0,30.0,25.739426002576685,6,0,0,0,0,0,1,0,1,0
73,2.03,97.5,0.053111495611092054,2019,1,21,583.257281553398,198.99757281553397,2.850071428571429,4.0,27.0,23.65988012327405,2,0,0,1,0,0,0,0,0,1
68,1.83,81.6,0.010337371836842458,2018,0,0,583.257281553398,198.99757281553397,2.850071428571429,5.0,28.0,24.36620980023291,1,0,0,0,0,0,1,0,1,0
81,2.01,88.9,0.15778116298702283,2016,1,2,194.0,100.0,2.850071428571429,7.0,26.0,22.00440583153883,3,0,0,1,0,0,0,0,1,0
72,1.88,85.7,0.34098886080823226,2011,1,8,583.257281553398,198.99757281553397,2.850071428571429,12.0,32.0,24.247397012222727,2,0,0,0,0,0,1,0,1,0
79,2.13,120.2,0.2633450603252072,2008,1,10,583.257281553398,198.99757281553397,0.0,15.0,35.0,26.493861447243717,6,1,0,0,0,0,0,0,1,0
73,1.93,86.2,0.02988898157104313,2018,2,42,583.257281553398,198.99757281553397,2.850071428571429,5.0,27.0,23.14156084727107,2,0,0,0,0,0,1,0,1,0
71,2.06,111.1,0.02952047853089305,2019,2,34,583.257281553398,198.99757281553397,2.850071428571429,4.0,25.0,26.180601376190026,1,0,0,1,0,0,0,0,0,1
75,1.88,84.8,0.06177433470353546,2016,0,0,583.257281553398,198.99757281553397,2.850071428571429,7.0,30.0,23.99275690357628,3,0,0,0,0,0,1,0,1,0
84,1.93,96.2,0.10520676514902397,2016,1,6,512.0,333.0,2.850071428571429,7.0,30.0,25.826196676420846,3,0,0,0,0,0,1,0,0,1
70,2.06,112.9,0.043365801632093234,2017,1,26,583.257281553398,198.99757281553397,2.850071428571429,6.0,26.0,26.604769535300218,6,1,0,0,0,0,0,0,1,0
69,2.01,102.1,0.0006465640808899597,2018,0,0,583.257281553398,198.99757281553397,2.850071428571429,5.0,28.0,25.271651691789813,6,0,0,0,0,0,1,0,1,0
72,2.03,95.3,0.08710596666600044,2019,1,11,583.257281553398,198.99757281553397,2.850071428571429,4.0,27.0,23.12601616151812,1,0,0,1,0,0,0,0,1,0
72,1.88,81.6,0.006478935957749067,2015,1,14,38.5,21.0,2.850071428571429,8.0,29.0,23.087369850611136,1,0,0,0,0,0,1,0,1,0
78,1.98,86.6,0.05632325807418982,2016,1,20,0.0,28.0,2.850071428571429,7.0,29.0,22.0895826956433,6,0,0,0,0,0,1,0,1,0
71,1.8,90.7,0.02575991943839542,2019,2,33,583.257281553398,198.99757281553397,2.850071428571429,4.0,25.0,27.993827160493826,4,0,0,0,0,0,1,0,1,0
75,2.01,97.5,0.062477206363845454,2015,2,31,583.257281553398,198.99757281553397,2.850071428571429,8.0,28.0,24.1330660132175,6,0,0,0,0,1,0,0,0,1
72,2.01,88.9,0.049907539674539134,2018,1,22,583.257281553398,198.99757281553397,2.850071428571429,5.0,27.0,22.00440583153883,2,0,0,1,0,0,0,0,1,0
