rating,height,weight,draft_year,draft_round,draft_peak,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT,TWITTER_FOLLOWER_COUNT_MILLIONS,Experience,Age,bmi,team_salary,position_C,position_C-F,position_F,position_F-C,position_F-G,position_G,position_G-F,country_USA,country_not USA
70,2.03,106.6,2018,2,48,583.257281553398,198.99757281553397,2.850071428571429,5.0,27.0,25.86813560144629,6,0,0,1,0,0,0,0,1,0
73,1.98,105.2,2005,2,34,583.257281553398,198.99757281553397,2.850071428571429,18.0,36.0,26.83399653096623,1,0,0,0,0,0,0,1,1,0
97,2.06,113.4,2003,1,1,5533.5,1501.5,37.0,20.0,39.0,26.722594023941937,6,0,0,1,0,0,0,0,1,0
74,2.11,103.0,2007,1,9,0.0,87.0,2.850071428571429,16.0,38.0,23.13514970463377,6,1,0,0,0,0,0,0,1,0
73,1.98,93.0,2010,1,2,17.0,13.0,2.850071428571429,13.0,35.0,23.72206917661463,6,0,0,0,0,0,0,1,1,0
78,1.85,78.0,2013,1,17,583.257281553398,198.99757281553397,2.850071428571429,10.0,30.0,22.79035792549306,6,0,0,0,0,0,1,0,0,1
93,2.03,95.3,2010,1,10,228.5,128.0,1.7,13.0,33.0,23.12601616151812,6,0,0,1,0,0,0,0,1,0
96,2.01,102.1,2011,1,15,2701.5,716.5,0.166,12.0,32.0,25.271651691789813,6,0,0,1,0,0,0,0,1,0
72,1.93,93.0,2013,0,0,583.257281553398,198.99757281553397,2.850071428571429,10.0,32.0,24.967113211092915,6,0,0,0,0,0,1,0,1,0
76,2.01,93.4,2013,1,26,10.0,8.0,2.850071428571429,10.0,32.0,23.118239647533485,6,0,0,0,0,0,0,1,1,0
73,2.01,83.9,2016,1,26,583.257281553398,198.99757281553397,2.850071428571429,7.0,26.0,20.766812702655884,6,0,0,1,0,0,0,0,0,1
72,1.93,90.7,2013,0,0,30.0,10.0,2.850071428571429,10.0,32.0,24.34964697038847,6,0,0,0,0,0,1,0,1,0
