full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,version
CJ Miles,73,#0,,G-F,3/18/1987,6-6 / 1.98,232 lbs. / 105.2 kg.,"$8,730,158 ",USA,2005,2,34,,NBA2k20
Mike Muscala,73,#33,Oklahoma City Thunder,F-C,7/1/1991,6-10 / 2.08,230 lbs. / 104.3 kg.,"$2,028,594 ",USA,2013,2,44,Bucknell,NBA2k20
Frank Ntilikina,73,#11,New York Knicks,G,7/28/1998,6-4 / 1.93,190 lbs. / 86.2 kg.,"$4,855,800 ",France,2017,1,8,,NBA2k20
David Nwaba,73,#0,Houston Rockets,G,1/14/1993,6-5 / 1.96,210 lbs. / 95.3 kg.,"$2,581,965 ",USA,2016,Undrafted,Undrafted,Cal Poly,NBA2k20
Royce O'Neale,73,#23,Utah Jazz,F,6/5/1993,6-4 / 1.93,226 lbs. / 102.5 kg.,"$1,618,520 ",USA,2015,Undrafted,Undrafted,Baylor,NBA2k20
Semi Ojeleye,73,#37,Boston Celtics,F,12/5/1994,6-6 / 1.98,235 lbs. / 106.6 kg.,"$1,618,520 ",USA,2017,2,37,SMU,NBA2k20
Josh Okogie,73,#20,Minnesota Timberwolves,G,9/1/1998,6-4 / 1.93,213 lbs. / 96.6 kg.,"$2,530,680 ",Nigeria,2018,1,20,Georgia Tech,NBA2k20
Jonathon Simmons,73,#0,,G-F,9/14/1989,6-6 / 1.98,195 lbs. / 88.5 kg.,"$1,000,000 ",USA,2012,Undrafted,Undrafted,Houston,NBA2k20
Ishmael Smith,73,#14,Washington Wizards,G,7/5/1988,6-0 / 1.83,175 lbs. / 79.4 kg.,"$6,000,000 ",USA,2010,Undrafted,Undrafted,Wake Forest,NBA2k20
Tony Snell,73,#17,Detroit Pistons,F,11/10/1991,6-6 / 1.98,198 lbs. / 89.8 kg.,"$11,392,857 ",USA,2013,1,20,New Mexico,NBA2k20
Omari Spellman,73,#0,Minnesota Timberwolves,F,7/21/1997,6-8 / 2.03,245 lbs. / 111.1 kg.,"$1,897,800 ",USA,2018,1,30,Villanova,NBA2k20
Garrett Temple,73,#17,Brooklyn Nets,G-F,5/8/1986,6-5 / 1.96,195 lbs. / 88.5 kg.,"$4,767,000 ",USA,2009,Undrafted,Undrafted,LSU,NBA2k20
Evan Turner,73,#1,Minnesota Timberwolves,G-F,10/27/1988,6-6 / 1.98,205 lbs. / 93 kg.,"$18,606,556 ",USA,2010,1,2,Ohio State,NBA2k20
Lonnie Walker,73,#1,San Antonio Spurs,G,12/14/1998,6-5 / 1.96,204 lbs. / 92.5 kg.,"$2,764,200 ",USA,2018,1,18,Miami (Florida),NBA2k20
Brad Wanamaker,73,#9,Boston Celtics,G,7/25/1989,6-3 / 1.91,210 lbs. / 95.3 kg.,"$1,445,697 ",USA,2011,Undrafted,Undrafted,Pittsburgh,NBA2k20
Ante Zizic,73,#41,Cleveland Cavaliers,C,1/4/1997,6-10 / 2.08,250 lbs. / 113.4 kg.,"$2,281,800 ",Croatia,2016,1,23,,NBA2k20
Tyler Herro,73,#14,Miami Heat,G,1/20/2000,6-5 / 1.96,195 lbs. / 88.5 kg.,"$3,640,200 ",USA,2019,1,13,Kentucky,NBA2k20
Vincent Poirier,73,#77,Boston Celtics,C,10/17/1993,7-0 / 2.13,235 lbs. / 106.6 kg.,"$2,505,793 ",France,2015,Undrafted,Undrafted,,NBA2k20
Sekou Doumbouya,73,#45,Detroit Pistons,F,12/23/2000,6-8 / 2.03,209 lbs. / 94.8 kg.,"$3,285,120 ",France,2019,1,15,,NBA2k20
